,Unnamed: 0,Position,Track Name,Artist,Streams,date,region,spotify_id,featured-artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,release_date
400,400,1,7 rings,Ariana Grande,71467874,2019-01-18--2019-01-25,global,14msK75pk3pA33pzPVNtBF,,0.578,0.725,0.321,0.0,0.0884,-10.744000000000002,0.32299999999999995,70.142,0.319,25,2019-01-18
5200,5200,1,Señorita,Shawn Mendes,67237638,2019-07-05--2019-07-12,global,0TK2YIli7K1leLovkQiNik,Camila Cabello,0.037000000000000005,0.759,0.54,0.0,0.0945,-6.039,0.0287,116.947,0.75,89,2019-06-21
3600,3600,1,I Don't Care (with Justin Bieber),Ed Sheeran,58370367,2019-05-10--2019-05-17,global,3HVWdVOQ0ZA45FuZGSfvns,Justin Bieber,0.0912,0.7979999999999999,0.675,0.0,0.0894,-5.041,0.0442,101.956,0.8420000000000001,87,2019-05-10
1001,1001,2,"break up with your girlfriend, i'm bored",Ariana Grande,54707620,2019-02-08--2019-02-15,global,4kV4N9D1iKVxx1KLvtTpjS,,0.0421,0.726,0.5539999999999999,0.0,0.106,-5.29,0.0917,169.99900000000002,0.335,81,2019-02-08
2400,2400,1,bad guy,Billie Eilish,50342324,2019-03-29--2019-04-05,global,2Fxmhks0bxGSBdJ92vM42m,,0.32799999999999996,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,0.562,93,2019-03-29
7800,7800,1,HIGHEST IN THE ROOM,Travis Scott,48161108,2019-10-04--2019-10-11,global,3eekarcy7kvN4yt5ZFzltW,,0.0546,0.598,0.42700000000000005,5.83e-06,0.21,-8.764,0.0317,76.469,0.0605,89,2019-10-04
10000,10000,1,Dance Monkey,Tones And I,47797217,2019-12-20--2019-12-27,global,1rgnBhdG2JDFTbYkYRZAku,,0.688,0.825,0.593,0.000161,0.17,-6.401,0.0988,98.07799999999999,0.54,75,2019-05-10
8400,8400,1,Lose You To Love Me,Selena Gomez,47227738,2019-10-25--2019-11-01,global,1HfMVBKM75vxSfsQ5VefZ5,,0.5760000000000001,0.505,0.34,0.0,0.21,-9.005,0.0438,101.993,0.0916,68,2019-10-23
10001,10001,2,All I Want for Christmas Is You,Mariah Carey,45828931,2019-12-20--2019-12-27,global,0bYg9bo50gSsH3LtXe2SQn,,0.16399999999999998,0.335,0.625,0.0,0.0708,-7.462000000000001,0.0386,150.27700000000002,0.34600000000000003,70,1994-11-01
7000,7000,1,Circles,Post Malone,43379405,2019-09-06--2019-09-13,global,51MMC5DogGZAnHil5HQAXg,,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,0.5529999999999999,27,2019-09-06
9001,9001,2,everything i wanted,Billie Eilish,40323676,2019-11-15--2019-11-22,global,3ZCTVFBt2Brf31RLEnCkWJ,,0.902,0.7040000000000001,0.225,0.657,0.106,-14.454,0.0994,120.006,0.243,94,2019-11-13
3201,3201,2,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,37826059,2019-04-26--2019-05-03,global,4Sib57MmYGJzSvkW84jTwh,Brendon Urie,0.0291,0.614,0.8390000000000001,0.0,0.11199999999999999,-4.143,0.0702,182.123,0.657,27,2019-04-26
10002,10002,3,Last Christmas,Wham!,37725693,2019-12-20--2019-12-27,global,2FRnf9qhLbvw8fu4IBXx78,,0.18899999999999997,0.735,0.478,2.48e-06,0.355,-12.472000000000001,0.0293,107.682,0.9470000000000001,64,1984-11-29
5201,5201,2,Goodbyes (Feat. Young Thug),Post Malone,37067320,2019-07-05--2019-07-12,global,6vBdBCoOhKHiYDDOcorfNo,Young Thug,0.447,0.58,0.653,0.0,0.111,-3.818,0.0745,150.231,0.175,31,2019-07-05
5402,5402,3,Beautiful People (feat. Khalid),Ed Sheeran,36721702,2019-07-12--2019-07-19,global,70eFcWOvlMObDhURTqT4Fv,Khalid,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,92.977,0.5479999999999999,80,2019-07-12
2801,2801,2,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,36616698,2019-04-12--2019-04-19,global,6u7jPi22kF8CTQ3rb9DHE7,Billy Ray Cyrus,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,136.041,0.639,30,2019-04-05
801,801,2,bury a friend,Billie Eilish,35408536,2019-02-01--2019-02-08,global,4NzMOnvSJVNKF7nw5NkXIP,,0.74,0.905,0.389,0.162,0.106,-14.505,0.332,120.046,0.196,17,2019-01-30
1601,1601,2,Sucker,Jonas Brothers,34629196,2019-03-01--2019-03-08,global,4y3OI86AEP6PQoDE6olYhO,,0.0427,0.8420000000000001,0.7340000000000001,0.0,0.106,-5.065,0.0588,137.958,0.9520000000000001,48,2019-03-01
